pfamID	numSequences	numColumns	pdbid	pfamLine	eScore	queryStart	queryEnd	targetStart	targetEnd	percentIdentity	CHAIN_ID
14-3-3	1476	586	3SMK	1433S_HUMAN	1.00E-123	8	225	1	229	94.32	A
2-ph_phosp	397	536	2Z0J	COMB_THET8	9.00E-85	2	231	1	230	100	A
2OG-FeII_Oxy_5	264	279	3BVC	A3SHZ8_9RHOB	2.00E-48	99	199	1	101	100	A
3-dmu-9_3-mt	1986	521	1U69	E2ZV76_PSEAE	6.00E-66	1	116	1	117	99.15	A
3-HAO	260	356	2QNK	3HAO_HUMAN	1.00E-78	2	145	2	149	97.3	A
3H	613	137	1J5Y	NIAR_THEMA	2.00E-45	72	165	1	98	94.9	A
5_nucleotid	371	1032	2XJC	A8K6K2_HUMAN	0	33	463	1	454	94.71	A
6PF2K	739	641	3BIF	F264_RAT	7.00E-126	1	212	11	222	99.53	A
7TMR-DISMED2	636	352	2XBZ	E3A0E9_PSEAE	1.00E-62	1	122	4	134	93.13	A
AA_synth	252	246	3BYQ	Q7VYX8_BORPE	8.00E-79	5	169	1	173	93.64	A
AAA_32	1004	953	3K1J	B6YU74_THEON	7.00E-136	111	345	18	256	97.07	A
AAA_4	1721	572	2KYY	Q82S36_NITEU	7.00E-68	16	145	1	130	100	A
AAL_decarboxy	838	336	1XV2	Q2FDQ8_STAA3	8.00E-106	22	218	21	221	98.01	A
AAR2	219	1111	3SBS	C7GK59_YEAS2	2.00E-180	1	300	1	318	94.34	A
ABC_sub_bind	1464	1157	3LKV	D0HAH4_VIBCH	1.00E-162	4	294	1	293	99.32	A
AceK	492	753	3EPS	E8J923_ECO57	0	8	560	1	560	98.75	A
AcetDehyd-dimer	504	213	1NVM	ACDH_PSEUF	6.00E-62	132	285	1	154	100	B
AcetylCoA_hydro	1956	631	2G39	A3L1I1_PSEAE	2.00E-90	7	207	1	208	96.63	A
Acetyltransf_11	1763	220	4EQY	LPXA_BURTA	7.00E-47	175	261	1	87	100	A
Acetyltransf_2	1321	946	1GX3	NAT_MYCSM	8.00E-140	22	262	1	241	100	A
Acid_phosphat_B	1117	744	3CZ4	C5A149_ECOBW	3.00E-114	1	193	20	212	100	A
Acid_PPase	225	508	2WM8	MGDP1_HUMAN	1.00E-93	12	169	1	158	100	A
Aconitase_2_N	989	563	1L5J	E6A029_ECOLX	7.00E-117	168	382	1	215	100	A
ACOX	703	421	1W07	ACOX1_ARATH	1.00E-107	472	654	1	183	100	A
Activin_recp	492	256	4FAO	D3ZHN2_RAT	9.00E-52	1	91	1	91	100	C
Acyl_CoA_thio	772	365	1C8U	E9U3S1_ECOLX	3.00E-79	146	280	1	135	100	A
ADC	485	717	3BH2	ADC_CLOAB	2.00E-139	11	243	1	233	100	A
Adenine_deam_C	1022	288	3T81	ADEC2_AGRT5	3.00E-81	398	564	1	172	96.51	A
Adenosine_kin	220	191	2JB7	Q8ZVF7_PYRAE	3.00E-79	7	163	1	157	100	A
AdoHcyase	1774	923	3NJ4	SAHH_HUMAN	0	4	430	1	427	100	A
